,sp15_price,sp15_high,sp15_low,sp15_volume,np15_price,pv_price,caiso_price_usd_mwh
2023-01-01,,,,,,,218.27
2023-01-02,,,,,,,218.27
2023-01-03,218.27,220.0,215.0,4400.0,215.0,179.23,218.27
2023-01-04,176.16,180.0,175.0,14800.0,,149.71,176.16
2023-01-05,158.13,160.0,157.5,6400.0,,144.2,158.13
2023-01-06,185.0,185.0,185.0,3600.0,,151.67,185.0
2023-01-07,,,,,,,181.76666666666668
2023-01-08,,,,,,,178.53333333333333
2023-01-09,175.3,180.0,173.0,21600.0,,160.0,175.3
2023-01-10,170.13,175.0,168.0,14000.0,171.33,152.5,170.13
2023-01-11,142.75,143.0,142.0,12800.0,,130.67,142.75
2023-01-12,198.55,200.0,187.0,4400.0,,164.43,198.55
2023-01-13,150.0,150.0,150.0,800.0,,131.75,150.0
2023-01-14,,,,,,,157.3
2023-01-15,,,,,,,164.6
2023-01-16,,,,,,,171.89999999999998
2023-01-17,179.2,180.0,175.0,4000.0,,179.85,179.2
2023-01-18,173.5,180.0,170.0,8000.0,,175.45,173.5
2023-01-19,140.93,145.0,137.0,17600.0,,166.31,140.93
2023-01-20,128.73,134.0,125.0,12000.0,,148.33,128.73
2023-01-21,,,,,,,131.93
2023-01-22,,,,,,,135.13
2023-01-23,138.33,142.0,135.0,14400.0,151.0,157.62,138.33
2023-01-24,148.62,150.0,145.0,20000.0,,167.27,148.62
2023-01-25,128.27,130.0,126.5,27200.0,134.5,137.69,128.27
2023-01-26,72.0,75.0,70.0,3200.0,,65.6,72.0
2023-01-27,121.44,150.0,112.0,16400.0,,115.69,121.44
2023-01-28,,,,,,,109.62666666666667
2023-01-29,,,,,,,97.81333333333333
2023-01-30,86.0,88.0,85.0,9600.0,94.0,85.69,86.0
2023-01-31,104.02,107.5,100.0,11200.0,121.38,100.45,104.02
2023-02-01,138.79,145.0,132.0,5600.0,145.0,185.07,138.79
2023-02-02,50.11,52.0,50.0,14400.0,,44.17,50.11
2023-02-03,41.2,45.0,40.0,6000.0,,38.38,41.2
2023-02-04,,,,,,,41.95333333333333
2023-02-05,,,,,,,42.70666666666667
2023-02-06,43.46,44.0,42.0,5200.0,,38.08,43.46
2023-02-07,,,,,,38.75,38.75
2023-02-08,47.63,48.0,46.0,6400.0,,43.07,47.63
2023-02-09,42.71,43.0,42.5,10400.0,,40.56,42.71
2023-02-10,47.85,48.0,47.5,18400.0,58.0,43.36,47.85
2023-02-11,,,,,,,48.233333333333334
2023-02-12,,,,,,,48.61666666666667
2023-02-13,49.0,50.0,48.0,800.0,,47.88,49.0
2023-02-14,47.77,49.0,47.0,11200.0,58.25,46.0,47.77
2023-02-15,78.61,80.0,75.0,22400.0,,74.25,78.61
2023-02-16,,,,,,50.93,50.93
2023-02-17,53.53,55.0,50.0,12800.0,62.0,41.43,53.53
2023-02-18,,,,,,,55.545
2023-02-19,,,,,,,57.56
2023-02-20,,,,,,,59.575
2023-02-21,61.59,65.0,59.0,6800.0,,56.63,61.59
2023-02-22,93.56,100.0,90.0,7200.0,106.5,80.6,93.56
2023-02-23,134.77,135.0,133.0,10400.0,142.0,152.0,134.77
2023-02-24,,,,,,100.0,100.0
2023-02-25,,,,,,,93.34
2023-02-26,,,,,,,86.67999999999999
2023-02-27,80.02,95.0,75.0,17200.0,,89.67,80.02
2023-02-28,81.48,82.0,80.0,20400.0,88.6,91.6,81.48
2023-03-01,79.55,83.75,75.0,64400.0,,89.0,79.55
2023-03-02,90.83,95.0,89.0,14400.0,107.83,114.75,90.83
2023-03-03,78.95,81.75,76.0,9600.0,94.8,82.33,78.95
2023-03-04,,,,,,,76.27
2023-03-05,,,,,,,73.59
2023-03-06,70.91,72.0,69.0,18000.0,103.0,74.13,70.91
2023-03-07,62.2,65.0,59.0,4400.0,87.71,66.58,62.2
2023-03-08,66.93,68.0,66.0,32400.0,95.97,68.2,66.93
2023-03-09,51.95,53.0,50.0,16000.0,70.25,41.12,51.95
2023-03-10,,,,,72.0,41.91,72.0
2023-03-11,,,,,,,73.25333333333333
2023-03-12,,,,,,,74.50666666666667
2023-03-13,75.76,77.0,75.0,15200.0,85.0,69.71,75.76
2023-03-14,70.3,73.0,69.0,9200.0,78.5,60.0,70.3
2023-03-15,67.0,68.0,66.0,800.0,79.75,63.0,67.0
2023-03-16,58.5,59.0,58.0,1600.0,,52.4,58.5
2023-03-17,,,,,,55.62,55.62
2023-03-18,,,,,,,70.01333333333334
2023-03-19,,,,,,,84.40666666666667
2023-03-20,98.8,100.0,97.5,11200.0,97.0,87.07,98.8
2023-03-21,75.05,75.25,75.0,9200.0,,65.25,75.05
2023-03-22,51.81,60.0,50.0,10400.0,63.0,39.91,51.81
2023-03-23,35.16,36.0,34.0,17600.0,46.05,29.65,35.16
2023-03-24,56.81,60.0,55.0,8800.0,,45.59,56.81
2023-03-25,,,,,,,58.93333333333334
2023-03-26,,,,,,,61.056666666666665
2023-03-27,63.18,65.0,60.0,4400.0,,55.0,63.18
2023-03-28,61.05,63.0,60.0,8000.0,,46.21,61.05
2023-03-29,54.0,54.0,54.0,1600.0,,40.0,54.0
2023-03-30,34.2,35.0,30.0,5600.0,,29.55,34.2
2023-03-31,40.07,41.0,39.0,2800.0,,53.73,40.07
2023-04-01,,,,,,,41.166666666666664
2023-04-02,,,,,,,42.263333333333335
2023-04-03,43.36,44.0,43.0,6400.0,,58.07,43.36
2023-04-04,48.59,50.0,48.0,13600.0,74.5,61.13,48.59
2023-04-05,47.47,49.75,46.0,6400.0,,67.91,47.47
2023-04-06,68.82,70.0,60.0,9200.0,,91.92,68.82
2023-04-07,,,,,,,65.8475
2023-04-08,,,,,,,62.87499999999999
2023-04-09,,,,,,,59.902499999999996
2023-04-10,56.93,58.0,55.0,22800.0,,79.86,56.93
2023-04-11,55.81,56.0,54.0,36400.0,,75.05,55.81
2023-04-12,46.94,50.0,46.0,14400.0,,61.43,46.94
2023-04-13,40.3,41.5,40.0,8000.0,,51.69,40.3
