period,respondent,respondent-name,type,type-name,value,value-units
2023-01-01T00,CISO,California Independent System Operator,D,Demand,24007,megawatthours
2023-01-01T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23703,megawatthours
2023-01-01T00,CISO,California Independent System Operator,NG,Net generation,18024,megawatthours
2023-01-01T00,CISO,California Independent System Operator,TI,Total interchange,-6110,megawatthours
2023-01-01T01,CISO,California Independent System Operator,D,Demand,24546,megawatthours
2023-01-01T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24378,megawatthours
2023-01-01T01,CISO,California Independent System Operator,NG,Net generation,18372,megawatthours
2023-01-01T01,CISO,California Independent System Operator,TI,Total interchange,-6479,megawatthours
2023-01-01T02,CISO,California Independent System Operator,D,Demand,25344,megawatthours
2023-01-01T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26341,megawatthours
2023-01-01T02,CISO,California Independent System Operator,NG,Net generation,19084,megawatthours
2023-01-01T02,CISO,California Independent System Operator,TI,Total interchange,-6860,megawatthours
2023-01-01T03,CISO,California Independent System Operator,D,Demand,26468,megawatthours
2023-01-01T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,26134,megawatthours
2023-01-01T03,CISO,California Independent System Operator,NG,Net generation,18207,megawatthours
2023-01-01T03,CISO,California Independent System Operator,TI,Total interchange,-7219,megawatthours
2023-01-01T04,CISO,California Independent System Operator,D,Demand,26047,megawatthours
2023-01-01T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25298,megawatthours
2023-01-01T04,CISO,California Independent System Operator,NG,Net generation,17297,megawatthours
2023-01-01T04,CISO,California Independent System Operator,TI,Total interchange,-7203,megawatthours
2023-01-01T05,CISO,California Independent System Operator,D,Demand,25240,megawatthours
2023-01-01T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24463,megawatthours
2023-01-01T05,CISO,California Independent System Operator,NG,Net generation,16943,megawatthours
2023-01-01T05,CISO,California Independent System Operator,TI,Total interchange,-6737,megawatthours
2023-01-01T06,CISO,California Independent System Operator,D,Demand,24466,megawatthours
2023-01-01T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23822,megawatthours
2023-01-01T06,CISO,California Independent System Operator,NG,Net generation,15840,megawatthours
2023-01-01T06,CISO,California Independent System Operator,TI,Total interchange,-7256,megawatthours
2023-01-01T07,CISO,California Independent System Operator,D,Demand,23858,megawatthours
2023-01-01T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23039,megawatthours
2023-01-01T07,CISO,California Independent System Operator,NG,Net generation,15595,megawatthours
2023-01-01T07,CISO,California Independent System Operator,TI,Total interchange,-6972,megawatthours
2023-01-01T08,CISO,California Independent System Operator,D,Demand,23133,megawatthours
2023-01-01T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22090,megawatthours
2023-01-01T08,CISO,California Independent System Operator,NG,Net generation,14574,megawatthours
2023-01-01T08,CISO,California Independent System Operator,TI,Total interchange,-6951,megawatthours
2023-01-01T09,CISO,California Independent System Operator,D,Demand,22049,megawatthours
2023-01-01T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21086,megawatthours
2023-01-01T09,CISO,California Independent System Operator,NG,Net generation,14508,megawatthours
2023-01-01T09,CISO,California Independent System Operator,TI,Total interchange,-6040,megawatthours
2023-01-01T10,CISO,California Independent System Operator,D,Demand,21298,megawatthours
2023-01-01T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20258,megawatthours
2023-01-01T10,CISO,California Independent System Operator,NG,Net generation,14202,megawatthours
2023-01-01T10,CISO,California Independent System Operator,TI,Total interchange,-5825,megawatthours
2023-01-01T11,CISO,California Independent System Operator,D,Demand,20807,megawatthours
2023-01-01T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19574,megawatthours
2023-01-01T11,CISO,California Independent System Operator,NG,Net generation,13805,megawatthours
2023-01-01T11,CISO,California Independent System Operator,TI,Total interchange,-5680,megawatthours
2023-01-01T12,CISO,California Independent System Operator,D,Demand,20301,megawatthours
2023-01-01T12,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19168,megawatthours
2023-01-01T12,CISO,California Independent System Operator,NG,Net generation,13464,megawatthours
2023-01-01T12,CISO,California Independent System Operator,TI,Total interchange,-5617,megawatthours
2023-01-01T13,CISO,California Independent System Operator,D,Demand,19927,megawatthours
2023-01-01T13,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19043,megawatthours
2023-01-01T13,CISO,California Independent System Operator,NG,Net generation,13506,megawatthours
2023-01-01T13,CISO,California Independent System Operator,TI,Total interchange,-5657,megawatthours
2023-01-01T14,CISO,California Independent System Operator,D,Demand,19979,megawatthours
2023-01-01T14,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19305,megawatthours
2023-01-01T14,CISO,California Independent System Operator,NG,Net generation,14075,megawatthours
2023-01-01T14,CISO,California Independent System Operator,TI,Total interchange,-5339,megawatthours
2023-01-01T15,CISO,California Independent System Operator,D,Demand,20278,megawatthours
2023-01-01T15,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19931,megawatthours
2023-01-01T15,CISO,California Independent System Operator,NG,Net generation,14373,megawatthours
2023-01-01T15,CISO,California Independent System Operator,TI,Total interchange,-5441,megawatthours
2023-01-01T16,CISO,California Independent System Operator,D,Demand,20653,megawatthours
2023-01-01T16,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20125,megawatthours
2023-01-01T16,CISO,California Independent System Operator,NG,Net generation,15136,megawatthours
2023-01-01T16,CISO,California Independent System Operator,TI,Total interchange,-4672,megawatthours
2023-01-01T17,CISO,California Independent System Operator,D,Demand,20607,megawatthours
2023-01-01T17,CISO,California Independent System Operator,DF,Day-ahead demand forecast,19718,megawatthours
2023-01-01T17,CISO,California Independent System Operator,NG,Net generation,15780,megawatthours
2023-01-01T17,CISO,California Independent System Operator,TI,Total interchange,-3656,megawatthours
2023-01-01T18,CISO,California Independent System Operator,D,Demand,20033,megawatthours
2023-01-01T18,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18931,megawatthours
2023-01-01T18,CISO,California Independent System Operator,NG,Net generation,16707,megawatthours
2023-01-01T18,CISO,California Independent System Operator,TI,Total interchange,-2218,megawatthours
2023-01-01T19,CISO,California Independent System Operator,D,Demand,19461,megawatthours
2023-01-01T19,CISO,California Independent System Operator,DF,Day-ahead demand forecast,18178,megawatthours
2023-01-01T19,CISO,California Independent System Operator,NG,Net generation,17597,megawatthours
2023-01-01T19,CISO,California Independent System Operator,TI,Total interchange,-1164,megawatthours
2023-01-01T20,CISO,California Independent System Operator,D,Demand,19279,megawatthours
