period,day_ahead_demand_forecast_MW,total_demand_MW,net_demand_MW,Total interchange
2023-01-01 00:00:00+00:00,23703.0,24007.0,18024.0,-6110.0
2023-01-01 01:00:00+00:00,24378.0,24546.0,18372.0,-6479.0
2023-01-01 02:00:00+00:00,26341.0,25344.0,19084.0,-6860.0
2023-01-01 03:00:00+00:00,26134.0,26468.0,18207.0,-7219.0
2023-01-01 04:00:00+00:00,25298.0,26047.0,17297.0,-7203.0
2023-01-01 05:00:00+00:00,24463.0,25240.0,16943.0,-6737.0
2023-01-01 06:00:00+00:00,23822.0,24466.0,15840.0,-7256.0
2023-01-01 07:00:00+00:00,23039.0,23858.0,15595.0,-6972.0
2023-01-01 08:00:00+00:00,22090.0,23133.0,14574.0,-6951.0
2023-01-01 09:00:00+00:00,21086.0,22049.0,14508.0,-6040.0
2023-01-01 10:00:00+00:00,20258.0,21298.0,14202.0,-5825.0
2023-01-01 11:00:00+00:00,19574.0,20807.0,13805.0,-5680.0
2023-01-01 12:00:00+00:00,19168.0,20301.0,13464.0,-5617.0
2023-01-01 13:00:00+00:00,19043.0,19927.0,13506.0,-5657.0
2023-01-01 14:00:00+00:00,19305.0,19979.0,14075.0,-5339.0
2023-01-01 15:00:00+00:00,19931.0,20278.0,14373.0,-5441.0
2023-01-01 16:00:00+00:00,20125.0,20653.0,15136.0,-4672.0
2023-01-01 17:00:00+00:00,19718.0,20607.0,15780.0,-3656.0
2023-01-01 18:00:00+00:00,18931.0,20033.0,16707.0,-2218.0
2023-01-01 19:00:00+00:00,18178.0,19461.0,17597.0,-1164.0
2023-01-01 20:00:00+00:00,17698.0,19279.0,17950.0,-704.0
2023-01-01 21:00:00+00:00,17664.0,19297.0,17666.0,-735.0
2023-01-01 22:00:00+00:00,17920.0,19275.0,18157.0,-390.0
2023-01-01 23:00:00+00:00,18784.0,19596.0,17643.0,-1003.0
2023-01-02 00:00:00+00:00,20388.0,19644.0,17549.0,-2126.0
2023-01-02 01:00:00+00:00,22385.0,20649.0,17298.0,-4213.0
2023-01-02 02:00:00+00:00,24772.0,22399.0,19181.0,-4742.0
2023-01-02 03:00:00+00:00,24967.0,24778.0,19397.0,-4909.0
2023-01-02 04:00:00+00:00,24561.0,25166.0,18852.0,-5431.0
2023-01-02 05:00:00+00:00,24104.0,25110.0,18031.0,-5753.0
2023-01-02 06:00:00+00:00,23713.0,24640.0,17220.0,-6182.0
2023-01-02 07:00:00+00:00,22680.0,24259.0,16556.0,-5835.0
2023-01-02 08:00:00+00:00,21546.0,23210.0,15384.0,-5674.0
2023-01-02 09:00:00+00:00,20933.0,21897.0,15247.0,-5337.0
2023-01-02 10:00:00+00:00,20257.0,21483.0,14396.0,-5459.0
2023-01-02 11:00:00+00:00,19707.0,20773.0,13981.0,-5348.0
2023-01-02 12:00:00+00:00,19456.0,20329.0,14019.0,-5270.0
2023-01-02 13:00:00+00:00,19490.0,20335.0,14135.0,-5302.0
2023-01-02 14:00:00+00:00,19892.0,20527.0,15654.0,-4746.0
2023-01-02 15:00:00+00:00,20574.0,21468.0,16397.0,-5281.0
2023-01-02 16:00:00+00:00,20768.0,22710.0,17787.0,-4391.0
2023-01-02 17:00:00+00:00,20639.0,23098.0,19336.0,-2975.0
2023-01-02 18:00:00+00:00,20442.0,22971.0,19485.0,-3672.0
2023-01-02 19:00:00+00:00,20378.0,23346.0,19249.0,-3898.0
2023-01-02 20:00:00+00:00,20479.0,23474.0,19697.0,-4275.0
2023-01-02 21:00:00+00:00,20656.0,24281.0,19102.0,-5114.0
2023-01-02 22:00:00+00:00,20677.0,24429.0,18662.0,-6161.0
2023-01-02 23:00:00+00:00,21149.0,25190.0,19375.0,-5962.0
2023-01-03 00:00:00+00:00,22030.0,25918.0,20194.0,-5110.0
2023-01-03 01:00:00+00:00,23453.0,26121.0,20973.0,-5515.0
2023-01-03 02:00:00+00:00,25089.0,27310.0,22278.0,-5497.0
2023-01-03 03:00:00+00:00,25375.0,28567.0,21704.0,-5975.0
2023-01-03 04:00:00+00:00,24891.0,28396.0,21037.0,-6063.0
2023-01-03 05:00:00+00:00,24220.0,27724.0,20347.0,-5922.0
2023-01-03 06:00:00+00:00,23618.0,26872.0,19656.0,-5728.0
2023-01-03 07:00:00+00:00,22540.0,26019.0,18180.0,-5693.0
2023-01-03 08:00:00+00:00,21232.0,24535.0,17436.0,-5127.0
2023-01-03 09:00:00+00:00,20507.0,23243.0,17183.0,-4455.0
2023-01-03 10:00:00+00:00,19899.0,22414.0,16864.0,-4342.0
2023-01-03 11:00:00+00:00,19521.0,21928.0,16816.0,-4314.0
2023-01-03 12:00:00+00:00,19471.0,21828.0,16810.0,-4119.0
2023-01-03 13:00:00+00:00,19972.0,21641.0,16859.0,-4038.0
2023-01-03 14:00:00+00:00,21179.0,21683.0,17617.0,-4593.0
2023-01-03 15:00:00+00:00,23033.0,22990.0,19012.0,-5155.0
2023-01-03 16:00:00+00:00,24426.0,24875.0,20585.0,-5062.0
2023-01-03 17:00:00+00:00,24385.0,26168.0,23179.0,-3722.0
2023-01-03 18:00:00+00:00,23736.0,26992.0,23952.0,-2844.0
2023-01-03 19:00:00+00:00,22932.0,26883.0,23862.0,-2786.0
2023-01-03 20:00:00+00:00,22444.0,26827.0,22832.0,-3181.0
2023-01-03 21:00:00+00:00,22308.0,26337.0,23204.0,-2839.0
2023-01-03 22:00:00+00:00,22310.0,26407.0,22316.0,-3659.0
2023-01-03 23:00:00+00:00,22469.0,26301.0,21364.0,-4338.0
2023-01-04 00:00:00+00:00,23027.0,26099.0,20074.0,-5821.0
2023-01-04 01:00:00+00:00,24381.0,26638.0,20444.0,-6321.0
2023-01-04 02:00:00+00:00,26244.0,27617.0,21902.0,-6365.0
2023-01-04 03:00:00+00:00,26467.0,29102.0,21614.0,-6280.0
2023-01-04 04:00:00+00:00,25965.0,28764.0,20529.0,-6928.0
2023-01-04 05:00:00+00:00,25126.0,28294.0,19710.0,-7079.0
2023-01-04 06:00:00+00:00,24292.0,27589.0,19300.0,-6618.0
2023-01-04 07:00:00+00:00,22928.0,26630.0,18204.0,-6111.0
2023-01-04 08:00:00+00:00,21585.0,25085.0,16930.0,-6191.0
2023-01-04 09:00:00+00:00,21338.0,23884.0,16316.0,-6067.0
2023-01-04 10:00:00+00:00,20582.0,23211.0,15724.0,-6083.0
2023-01-04 11:00:00+00:00,20204.0,22651.0,15398.0,-5905.0
2023-01-04 12:00:00+00:00,20135.0,22159.0,15172.0,-5793.0
