period,demand_MW,solar_MW,wind_MW,net_load_MW
2023-01-01 00:00:00,40795,431,14940,25424
2023-01-01 01:00:00,41852,0,17780,24072
2023-01-01 02:00:00,41114,0,20755,20359
2023-01-01 03:00:00,39902,0,21498,18404
2023-01-01 04:00:00,38892,0,22155,16737
2023-01-01 05:00:00,37731,0,22433,15298
2023-01-01 06:00:00,36650,0,22016,14634
2023-01-01 07:00:00,35829,0,21753,14076
2023-01-01 08:00:00,35245,0,21569,13676
2023-01-01 09:00:00,34600,0,21036,13564
2023-01-01 10:00:00,34227,0,20595,13632
2023-01-01 11:00:00,34093,0,20388,13705
2023-01-01 12:00:00,34257,0,20057,14200
2023-01-01 13:00:00,34748,0,19480,15268
2023-01-01 14:00:00,35260,42,17940,17278
2023-01-01 15:00:00,35988,1256,16435,18297
2023-01-01 16:00:00,36671,4564,13971,18136
2023-01-01 17:00:00,36898,6095,10273,20530
2023-01-01 18:00:00,37255,6108,9407,21740
2023-01-01 19:00:00,37762,6356,9701,21705
2023-01-01 20:00:00,38077,6433,8283,23361
2023-01-01 21:00:00,38769,6460,7610,24699
2023-01-01 22:00:00,39558,5357,8446,25755
2023-01-01 23:00:00,39786,2610,9374,27802
2023-01-02 00:00:00,40469,323,10982,29164
2023-01-02 01:00:00,41844,0,16139,25705
2023-01-02 02:00:00,41404,0,20224,21180
2023-01-02 03:00:00,40940,0,21557,19383
2023-01-02 04:00:00,40171,0,22518,17653
2023-01-02 05:00:00,39039,0,23886,15153
2023-01-02 06:00:00,37530,0,23564,13966
2023-01-02 07:00:00,36027,0,22604,13423
2023-01-02 08:00:00,35035,0,21872,13163
2023-01-02 09:00:00,34350,0,21430,12920
2023-01-02 10:00:00,34014,0,20827,13187
2023-01-02 11:00:00,34222,0,20714,13508
2023-01-02 12:00:00,34955,0,20831,14124
2023-01-02 13:00:00,36169,0,21972,14197
2023-01-02 14:00:00,37253,10,21985,15258
2023-01-02 15:00:00,38186,667,19702,17817
2023-01-02 16:00:00,40014,3227,17475,19312
2023-01-02 17:00:00,41300,4736,16430,20134
2023-01-02 18:00:00,42605,5255,17081,20269
2023-01-02 19:00:00,43381,5275,19276,18830
2023-01-02 20:00:00,43915,5348,19429,19138
2023-01-02 21:00:00,44220,4882,19862,19476
2023-01-02 22:00:00,44683,3995,20621,20067
2023-01-02 23:00:00,44972,2640,21887,20445
2023-01-03 00:00:00,45930,531,23257,22142
2023-01-03 01:00:00,46499,1,21951,24547
2023-01-03 02:00:00,45772,1,20822,24949
2023-01-03 03:00:00,44635,1,20366,24268
2023-01-03 04:00:00,43393,1,20158,23234
2023-01-03 05:00:00,41401,1,20958,20442
2023-01-03 06:00:00,39013,1,21662,17350
2023-01-03 07:00:00,37047,1,21707,15339
2023-01-03 08:00:00,35546,1,21120,14425
2023-01-03 09:00:00,34754,1,20451,14302
2023-01-03 10:00:00,34467,1,20099,14367
2023-01-03 11:00:00,34741,1,19493,15247
