feature,importance
day_ahead_demand_forecast_MW,889692470886.0
demand_lag24h,343214870357.0
demand_lag168h,61501476061.0
forecast_error_yesterday,22481315664.0
price_lag24h,12539434036.0
hour_sin,11261522545.0
day_of_week,7526794535.0
day_of_year,7320562949.0
hour_cos,6966357326.0
demand_lag72h,6029736603.0
hour,5412269746.0
demand_trend_24h,4847971485.0
yesterday_min,3933608703.0
demand_trend_week,3782130667.0
dow_sin,3671041874.0
lastweek_mean,2493835539.0
yesterday_max,2380510184.0
yesterday_mean,2295176663.0
demand_lag48h,2165788857.0
is_weekend,2136643252.0
yesterday_range,2014743588.0
yesterday_std,1540303737.0
week_of_year,469342935.0
month,457463820.0
dow_cos,344532676.0
month_cos,329258217.0
month_sin,166449018.0
