feature,importance
total_demand_MW,585751223419.544
net_load_MW_lag1,306745266442.22424
day_ahead_demand_forecast_MW,49361052999.35327
total_demand_MW_lag1,8416286057.016724
net_load_MW_rolling_max_6h,7773053937.736206
demand_ramp,5694486290.195801
net_load_MW_rolling_min_6h,2148527932.800476
net_load_MW_lag2,1402618111.1530151
price_lag1,746548290.4492188
net_load_MW_lag24,431608098.5664673
net_load_MW_rolling_max_12h,380891135.875
net_load_MW_rolling_min_12h,341255921.9417114
net_load_MW_lag6,103211353.17785645
hour_sin,103088189.46362305
net_load_MW_rolling_std_12h,84065525.77410889
net_generation_MW,75020055.20874023
net_load_ramp,36905249.54449463
net_load_MW_lag168,34841796.55267334
hour_cos,33372550.07080078
hour,31799227.01501465
net_load_MW_lag3,30156776.573669434
net_load_MW_rolling_std_6h,27997670.56188965
net_load_MW_rolling_max_24h,24983992.676574707
price_lag24,20578384.12310791
demand_ramp_24h,17639061.509277344
net_load_MW_lag48,17157278.5178833
net_load_MW_rolling_min_24h,11055368.27722168
day_of_year,8210606.481018066
net_load_MW_lag12,7693220.317993164
net_load_MW_rolling_mean_6h,6735610.52746582
net_load_MW_rolling_std_24h,6210944.734802246
net_load_MW_rolling_mean_12h,5694097.566101074
Total interchange,5584523.145996094
net_load_MW_rolling_mean_24h,4308633.066833496
net_load_MW_ewma_24h,4007180.0837402344
day_of_week,3651561.9453125
dow_sin,2235212.1997070312
total_demand_MW_lag24,2111886.0725097656
dow_cos,1151126.7176513672
month,1038645.1049804688
week_of_year,589547.1536865234
month_sin,211521.10180664062
is_weekend,157847.35791015625
month_cos,149006.20178222656
net_load_same_hour_yesterday,111707.6376953125
demand_same_hour_yesterday,0.0
