feature,importance
net_load_MW_lag1,816927740846.9908
total_demand_MW_lag1,62375978240.66748
day_ahead_demand_forecast_MW,51405407865.90918
net_load_ramp,20062034699.02771
net_load_MW_rolling_max_6h,8428913564.099121
net_load_MW_rolling_min_6h,3777028831.112793
net_load_MW_rolling_max_12h,3541784360.2216797
net_load_MW_lag3,564350320.6343994
net_load_MW_rolling_min_12h,548499397.6883545
net_load_MW_lag24,417851330.3684082
hour,361203041.7685547
hour_sin,340864179.08740234
net_load_MW_lag2,221400915.3815918
net_load_MW_rolling_std_12h,218033663.413208
net_load_MW_lag6,211640170.288208
net_load_MW_rolling_std_6h,126829333.16040039
hour_cos,113280832.81958008
price_lag1,89644770.63513184
net_load_MW_rolling_max_24h,78699060.20324707
net_load_MW_rolling_std_24h,56512909.10498047
net_load_MW_lag168,53814795.41418457
net_load_MW_rolling_mean_6h,50491937.19433594
day_of_year,50270221.55822754
net_load_MW_rolling_min_24h,34950599.07434082
price_lag24,24545854.979125977
net_load_MW_lag48,20596784.353393555
net_load_MW_rolling_mean_24h,18686159.967773438
net_load_MW_lag12,18206887.86315918
day_of_week,16130583.604248047
net_load_MW_rolling_mean_12h,15256661.434326172
net_load_MW_ewma_24h,11873255.221923828
dow_sin,11331250.915283203
dow_cos,8856486.576660156
week_of_year,5445755.303222656
month,4188107.021484375
total_demand_MW_lag24,2914642.2836914062
net_load_same_hour_yesterday,2328386.117919922
month_cos,872731.3249511719
is_weekend,663638.0
month_sin,325393.4416503906
