feature,importance,importance_pct
netload_lag48h,0.33832777,33.83278
netload_lag24h,0.33166063,33.166065
netload_lag72h,0.078474715,7.847472
netload_lag168h,0.05331907,5.3319073
solar_lag24h,0.017368192,1.7368194
day_ahead_forecast_MW,0.015299991,1.5299991
demand_lag72h,0.013800618,1.3800619
price_lag24h,0.011426459,1.142646
is_weekend,0.011291654,1.1291655
netload_trend_24h,0.009297501,0.9297502
hour,0.0087639205,0.8763921
demand_lag24h,0.007913904,0.79139054
hour_sin,0.007802156,0.7802156
solar_lag168h,0.007724514,0.77245146
hour_cos,0.0077050133,0.7705014
day_of_week,0.0072475993,0.72476
month,0.0068081385,0.6808139
week_of_year,0.0054254425,0.5425443
dow_cos,0.0052458425,0.5245843
demand_lag168h,0.004927117,0.49271172
day_of_year,0.0046506817,0.46506822
demand_trend_24h,0.0046200375,0.4620038
yesterday_netload_mean,0.00454841,0.45484105
month_cos,0.0043502417,0.43502423
dow_sin,0.004159025,0.41590253
yesterday_demand_std,0.0038006736,0.38006738
forecast_error_lag24h,0.0032454175,0.32454178
yesterday_solar_mean,0.0029929453,0.29929456
month_sin,0.002861868,0.2861868
wind_lag24h,0.002624719,0.2624719
wind_lag168h,0.0025845957,0.2584596
demand_lag48h,0.002582191,0.25821912
yesterday_demand_max,0.0025147789,0.2514779
yesterday_demand_min,0.002412713,0.24127132
yesterday_demand_mean,0.0022213932,0.22213934
