feature,importance
total_demand_MW,51900798.926605225
net_load_MW_lag1,28151370.747406006
net_load_MW_lag24,2498977.227996826
day_ahead_demand_forecast_MW,2424356.880218506
total_demand_MW_lag1,812829.5447387695
net_load_MW_rolling_max_6h,699182.7653198242
demand_ramp,608523.1120910645
day_of_year,599511.9835205078
net_load_MW_rolling_max_12h,558944.3728637695
price_lag1,453929.60345458984
hour_cos,443000.83865356445
net_load_MW_rolling_std_6h,409332.13845825195
net_load_MW_rolling_std_12h,407599.0030517578
price_lag24,351062.38833618164
net_load_MW_lag168,325807.32345581055
net_load_MW_rolling_std_24h,325161.43478393555
net_generation_MW,322984.5835266113
net_load_MW_lag12,308852.6455078125
demand_ramp_24h,308642.9952697754
Total interchange,299877.2858581543
net_load_MW_lag48,265759.53604125977
net_load_MW_rolling_mean_12h,236641.02584838867
net_load_MW_lag2,223906.20303344727
net_load_MW_lag3,194798.11795043945
net_load_MW_rolling_min_12h,180639.92874145508
net_load_MW_rolling_min_24h,176727.94961547852
net_load_MW_rolling_max_24h,175753.21408081055
net_load_MW_rolling_min_6h,170992.15603637695
net_load_MW_rolling_mean_24h,167482.88888549805
net_load_MW_lag6,164310.03182983398
net_load_MW_ewma_24h,145618.44006347656
net_load_MW_rolling_mean_6h,139448.38571166992
week_of_year,88912.59860229492
hour,79266.08380126953
day_of_week,74917.2026977539
dow_sin,69677.68743896484
month,63295.6848449707
hour_sin,56724.515075683594
dow_cos,55289.48715209961
total_demand_MW_lag24,37931.109619140625
net_load_ramp,28982.58544921875
month_sin,19682.71304321289
month_cos,12705.307983398438
net_load_same_hour_yesterday,1680.8759155273438
is_weekend,883.2369995117188
demand_same_hour_yesterday,0.0
